osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
7503830694,Kaffenberg,,924,50.4452678,12.8591148,Q31536745,,sachsen-260721
1280463880,Langeneck,,924,47.6411807,11.5665219,Q31804523,,bayern-260721
9705949303,Schergenhöhe,,924,48.8819981,13.0343006,,,bayern-260721
4104433106,Weichberg,,924,47.780465,10.7732154,Q31289961,,bayern-260721
10032043131,Weilheimer Berg,,924,48.0309796,8.7421181,Q31515503,,baden-wuerttemberg
4484125074,,Jandaberg,924,49.1413463,13.2104186,,,bayern-260721
1986169544,Hangender Stein,,923,48.3064775,9.0001273,Q31542418,,baden-wuerttemberg
10032043127,Kohlberg,,923,47.9709045,8.6773814,,,baden-wuerttemberg
5440135922,Pürzerriegel,,923,49.2429536,12.9308331,,,bayern-260721
555174559,Riesenberg,,923,50.4611686,12.6706499,Q2152395,,sachsen-260721
11559229159,,,923,47.3873718,10.2909207,Q132801051,,bayern-260721
12306643586,,,923,47.56431,10.66126,,,bayern-260721
1906569414,Kleine Kösseine,,922,49.9905165,11.9822217,Q1746478,de:Kleine Kösseine,bayern-260721
7695506466,Osterberg,,922,47.9823864,8.6532996,,,baden-wuerttemberg
10286628179,Schramberg,,922,48.6530074,8.3960571,Q31323907,,baden-wuerttemberg
6542294786,Zeisiggesang,,922,50.4584223,12.5802182,Q31514320,,sachsen-260721
13460741233,,,922,48.2752816,9.0916774,,,baden-wuerttemberg
6769694023,Absbachhöhe,,921,48.4317774,8.2846117,Q30610202,,baden-wuerttemberg
1581702930,Balzenberg,,921,47.5920512,9.9700569,Q8553234,de:Balzenberg,bayern-260721
11374525320,Hinterer Berg,,921,48.0345838,8.7488003,,,baden-wuerttemberg
12669493137,Hutlersberg,,921,47.5616573,10.7001901,,,bayern-260721
6441526730,Höllkopf,,921,48.1039565,8.0851149,Q31561946,,baden-wuerttemberg
1980039720,Irrenberg,,921,48.2814148,8.9447796,Q1673183,,baden-wuerttemberg
12188969685,Kiesriegel,,921,49.0512437,13.1656122,,,bayern-260721
11378562420,Käpfle,,921,48.133377,8.8682561,,,baden-wuerttemberg
1777783073,Mitterscheibling,Mitterscheibling,921,48.8905042,13.6691268,,,bayern-260721
747347485,Rabenstein,,921,47.7858562,12.6183863,,,bayern-260721
