mountain_id,mountain_name,height,primary_country,proposed_additional_country,distance_to_boundary_meters,boundary_source,boundary_feature_ids,evidence_type,supporting_external_reference,classification_reason,existing_membership_status
34,"Partenkirchner Dreitorspitze, Nordostgipfel",2626,AT,DE,12,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:34","Near-border (12m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
199,"Kirchlespitze",2301,AT,DE,12,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:199","Near-border (12m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
30,"Partenkirchner Dreitorspitze, Westgipfel",2633,AT,DE,13,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:30","Near-border (13m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
3,"",2836,AT,DE,14,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:3","Near-border (14m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
28,"Teufelsgrat",2648,AT,DE,14,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:28","Near-border (14m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
193,"Drei Scharten",2304,AT,DE,15,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:193","Near-border (15m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
393,"Kreuzspitzl",2089,AT,DE,16,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:393","Near-border (16m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
110,"Östliche Törlspitze",2444,AT,DE,19,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:110","Near-border (19m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
20,"Mittlere Plattspitze",2680,AT,DE,20,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:20","Near-border (20m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
89,"Musterstein",2478,AT,DE,20,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:89","Near-border (20m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
5,"",2794,AT,DE,27,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:5","Near-border (27m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
54,"Schüsselkarspitze",2553,AT,DE,28,"William & Mary geoLab","AT:AT-7:97560089B46292059412713,DE:DE-BY:10402087B60477050509260",CANDIDATE,"OSM:summit:54","Near-border (28m) or conflicting/imprecise source; manual verification required. Distance alone is insufficient.",unknown – requires existing_memberships export to verify
